"Date","SP500","ChangeSP500","Dow","ChangeDow","Nasdaq","ChangeNasdaq","Bitcoin","ChangeBitcoin","save$Value","disposable$Value","CPI","FederalFundsRate","3YrTreasuryYield","10YrTreasuryYield","30YrTreasuryYield","Unemployment","EquityMktUncertainty","EconomicPolicyUncertainty","CrudeOilPrice","FederalReserveLoans","FedReservesOnHand","EconomicPolicy","Index","ExpectedStockIncrease","ConsumerUnemployment","Prices","InterestRates","BusinessConditions"
2022-10-22,3713.23,"0.035589382",30809.72,"0.072556066",10726.23,"0.014241245",19141.8,"-0.014585745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-30,3585.62,"-0.093395702",28725.51,"-0.088380895",10575.62,"-0.10498976",19425.13,"-0.038201347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-31,3955,"-0.042440119",31510.43,"-0.040636161",11816.2,"-0.04636465",20196.67,"-0.151659912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-31,4130.29,"0.091116348",32845.13,"0.0672517",12390.69,"0.123490988",23807.28,"0.2709892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-30,3785.38,"-0.083919993",30775.43,"-0.067131917",11028.74,"-0.087129875",18731.3,"-0.410748238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-31,4132.15,"5.32439E-05",32990.12,"0.000391482",12081.39,"-0.020531609",31788.28,"-0.170770086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-30,4131.93,"-0.087956719",32977.21,"-0.049054814",12334.64,"-0.13261681",38334.7,"-0.162404916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-31,4530.41,"0.035773239",34678.35,"0.023183527",14220.52,"0.034114345",45767.58,"0.098730356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-28,4373.94,"-0.031360521",33892.6,"-0.035274534",13751.4,"-0.03430366",41654.97,"0.083696951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-31,4515.55,"-0.052585089",35131.86,"-0.033200232",14239.88,"-0.089810974",38437.84,"-0.170412001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-31,4766.18,"0.043612875",36338.3,"0.053781321",15644.97,"0.006904501",46333.65,"-0.189101706",7.9,18240.9,281.933,1.58,2.29,2.93,3.1,4,62.04,201.06,104.61,28532,3771.911,1.73737373737374,70.6,63,1.87878787878788,2.78,2.66666666666667,1.78723404255319
2021-11-30,4567,"-0.008333731",34483.72,"-0.03729359",15537.69,"0.002535747",57138.67,"-0.062931502",7.2,18201,280.126,1.58,1.66,2.98,3.14,3.9,175.03,154.39,95.8,30571,3796.174,1.6969696969697,67.4,62.6,1.8989898989899,2.87,2.65656565656566,1.70967741935484
2021-10-31,4605.38,"0.069143873",35819.56,"0.058375035",15498.39,"0.072658351",60975.98,"0.403800734",7.1,18122.8,278.524,0.83,1.13,2.85,3.07,4.2,25.72,72.9,94.8,34952,4116.196,1.72727272727273,71.7,60.7,1.88888888888889,2.83838383838384,2.65656565656566,1.80208333333333
2021-09-30,4307.54,"-0.04756914",33843.92,"-0.042895325",14448.58,"-0.053125844",43436.35,"-0.075990038",8.1,18035.1,276.59,0.33,0.83,2.89,2.96,4.6,327.42,281.5,92.07,42255,4162.81,1.8265306122449,72.8,60,1.77777777777778,2.85858585858586,2.58585858585859,1.82608695652174
2021-08-31,4522.68,"0.028990321",35360.73,"0.012172729",15259.24,"0.039976337",47008.53,"0.131638927",9.8,18268.7,274.214,0.33,0.51,2.32,2.44,4.7,96.02,81.85,93.05,50546,4077.17,1.8469387755102,70.3,58.7,1.85858585858586,2.89,2.61616161616162,1.72043010752688
2021-07-31,4395.26,"0.022748109",34935.47,"0.012548652",14672.68,"0.011633383",41540.22,"0.201105103",10.5,18218.6,273.092,0.08,0.37,1.83,2.17,5.2,73.7,167.06,95.32,61426,4125.348,1.86734693877551,81.2,61.2,1.61616161616162,2.85858585858586,2.62626262626263,2.09677419354839
2021-06-30,4297.5,"0.022213976",34502.51,"-0.000780204",14503.95,"0.054929397",34585,"-0.057395446",9.5,18001.7,272.184,0.08,0.24,1.79,2.11,5.4,157.03,184.81,94.69,78094,4167.748,1.93877551020408,85.5,61.9,1.58163265306122,2.88,2.67676767676768,2.20212765957447
2021-05-31,4204.11,"0.005486503",34529.45,"0.019324071",13748.74,"-0.015322273",36690.89,"-0.354197806",10.4,17980.6,270.955,0.07,0.06,1.52,1.9,5.9,120.62,132.09,88.25,85487,3984.371,1.92857142857143,82.9,64.8,1.62626262626263,2.9,2.61616161616162,2.10526315789474
