"Date","ChangeDow","save.Value","CPI","EquityMktUncertainty","CrudeOilPrice","FederalReserveLoans","FedReservesOnHand","EconomicPolicy","Index","ExpectedStockIncrease","ConsumerUnemployment"
"2021-12-31",0.053781321,7.9,281.933,62.04,104.61,28532,3771.911,1.73737373737374,70.6,63,1.87878787878788
"2021-11-30",-0.03729359,7.2,280.126,175.03,95.8,30571,3796.174,1.6969696969697,67.4,62.6,1.8989898989899
"2021-10-31",0.058375035,7.1,278.524,25.72,94.8,34952,4116.196,1.72727272727273,71.7,60.7,1.88888888888889
"2021-09-30",-0.042895325,8.1,276.59,327.42,92.07,42255,4162.81,1.8265306122449,72.8,60,1.77777777777778
"2021-08-31",0.012172729,9.8,274.214,96.02,93.05,50546,4077.17,1.8469387755102,70.3,58.7,1.85858585858586
"2021-07-31",0.012548652,10.5,273.092,73.7,95.32,61426,4125.348,1.86734693877551,81.2,61.2,1.61616161616162
"2021-06-30",-0.000780204,9.5,272.184,157.03,94.69,78094,4167.748,1.93877551020408,85.5,61.9,1.58163265306122
"2021-05-31",0.019324071,10.4,270.955,120.62,88.25,85487,3984.371,1.92857142857143,82.9,64.8,1.62626262626263
"2021-04-30",0.02708484,12.6,268.599,111.66,86.66,91126,3780.791,1.98979591836735,88.3,62.3,1.68686868686869
"2021-03-31",0.066247106,26.6,266.727,16.15,89.57,84894,3805.178,1.91666666666667,84.9,64.6,1.80808080808081
"2021-02-28",0.031676685,13.5,265.028,68.98,94.72,73124,3829.269,1.83157894736842,76.8,60.4,1.95959595959596
"2021-01-31",-0.020383265,19.9,263.346,42.85,94.16,61188,3876.162,1.73469387755102,79,58.6,1.94897959183673
"2020-12-31",0.03265467,14,262.2,19.45,87.93,56321,3369.02,1.77551020408163,80.7,59.8,1.96969696969697
"2020-11-30",0.118371721,13,261.564,49.07,82.41,51098,3163.008,1.8265306122449,76.9,58.3,2.08247422680412
"2020-10-31",-0.046077094,13.6,260.721,28.22,94.7,56701,3122.156,1.79381443298969,81.8,60.3,1.88775510204082
"2020-09-30",-0.022805095,14.3,260.352,50.17,103.33,63864,3083.636,1.89795918367347,80.4,60.6,1.81632653061224
"2020-08-31",0.075741856,15,260.19,67.74,106.19,72462,2880.781,1.80808080808081,74.1,56.8,1.95959595959596
"2020-07-31",0.023842361,18.7,259.58,144.43,102.25,78373,2839.316,1.92783505154639,72.5,56.3,1.93939393939394
"2020-06-30",0.016931337,19.3,258.543,108.71,100.24,81105,2815.794,1.8659793814433,78.1,55,1.75510204081633
"2020-05-31",0.042610775,24.8,257.217,42.09,98.57,90523,2615.272,1.90625,72.3,53.9,1.93939393939394
"2020-04-30",0.110806327,33.8,255.944,161.98,97.21,95360,2918.756,2,71.8,56.2,2.18181818181818
"2020-03-31",-0.137437543,13.1,256.094,340.99,86.41,106896,3268.144,2.15151515151515,89.1,57.6,2.18181818181818
"2020-02-29",-0.100745575,8.3,258.165,146.85,85.61,123028,3159.142,2.14141414141414,101,65.6,2.02
"2020-01-31",-0.009895776,7.8,259.007,88.79,86.33,109119,2186.971,2.07291666666667,99.8,65.6,1.95
"2019-12-31",0.017362051,7.3,258.682,89.35,97.19,13,1626.469,2.09090909090909,99.3,63.8,2.08
"2019-11-30",0.037165254,7.5,258.263,233.01,96.29,34,1616.342,2.04081632653061,96.8,61,2
"2019-10-31",0.004807401,7.4,257.788,576.88,101.33,13,1651.927,2.05102040816327,95.5,57.1,2.12
"2019-09-30",0.019450235,7.3,257.305,297.41,110.04,40,1526.697,2.01010101010101,93.2,56.8,2.11111111111111
