"Date","ChangeBitcoin","save.Value","CPI","FederalFundsRate","EquityMktUncertainty","EconomicPolicyUncertainty","CrudeOilPrice","FederalReserveLoans","EconomicPolicy","Index","Prices","InterestRates"
"2021-12-31",-0.189101706,7.9,281.933,1.58,62.04,201.06,104.61,28532,1.73737373737374,70.6,2.78,2.66666666666667
"2021-11-30",-0.062931502,7.2,280.126,1.58,175.03,154.39,95.8,30571,1.6969696969697,67.4,2.87,2.65656565656566
"2021-10-31",0.403800734,7.1,278.524,0.83,25.72,72.9,94.8,34952,1.72727272727273,71.7,2.83838383838384,2.65656565656566
"2021-09-30",-0.075990038,8.1,276.59,0.33,327.42,281.5,92.07,42255,1.8265306122449,72.8,2.85858585858586,2.58585858585859
"2021-08-31",0.131638927,9.8,274.214,0.33,96.02,81.85,93.05,50546,1.8469387755102,70.3,2.89,2.61616161616162
"2021-07-31",0.201105103,10.5,273.092,0.08,73.7,167.06,95.32,61426,1.86734693877551,81.2,2.85858585858586,2.62626262626263
"2021-06-30",-0.057395446,9.5,272.184,0.08,157.03,184.81,94.69,78094,1.93877551020408,85.5,2.88,2.67676767676768
"2021-05-31",-0.354197806,10.4,270.955,0.07,120.62,132.09,88.25,85487,1.92857142857143,82.9,2.9,2.61616161616162
"2021-04-30",-0.036393364,12.6,268.599,0.07,111.66,117.24,86.66,91126,1.98979591836735,88.3,2.84848484848485,2.53535353535354
"2021-03-31",0.303038527,26.6,266.727,0.07,16.15,97.73,89.57,84894,1.91666666666667,84.9,2.83838383838384,2.52040816326531
"2021-02-28",0.387929178,13.5,265.028,0.06,68.98,142.53,94.72,73124,1.83157894736842,76.8,2.82,2.3469387755102
"2021-01-31",0.124325603,19.9,263.346,0.06,42.85,166.77,94.16,61188,1.73469387755102,79,2.78,2.3298969072165
"2020-12-31",0.496303398,14,262.2,0.07,19.45,116.35,87.93,56321,1.77551020408163,80.7,2.70408163265306,2.2680412371134
"2020-11-30",0.399167515,13,261.564,0.08,49.07,133.65,82.41,51098,1.8265306122449,76.9,2.6969696969697,2.23958333333333
"2020-10-31",0.293561659,13.6,260.721,0.05,28.22,74.69,94.7,56701,1.79381443298969,81.8,2.68686868686869,2.21428571428571
"2020-09-30",-0.083199185,14.3,260.352,0.05,50.17,125.83,103.33,63864,1.89795918367347,80.4,2.67676767676768,2.16326530612245
"2020-08-31",0.029347863,15,260.19,0.06,67.74,136.03,106.19,72462,1.80808080808081,74.1,2.6969696969697,2.12371134020619
"2020-07-31",0.240354036,18.7,259.58,0.07,144.43,194.65,102.25,78373,1.92783505154639,72.5,2.6969696969697,2.08163265306122
