"Date","ChangeNasdaq","save.Value","CPI","FederalFundsRate","X10YrTreasuryYield","CrudeOilPrice","FedReservesOnHand","EconomicPolicy","Index","ExpectedStockIncrease","InterestRates"
"2021-12-31",0.006904501,7.9,281.933,1.58,2.93,104.61,3771.911,1.73737373737374,70.6,63,2.66666666666667
"2021-11-30",0.002535747,7.2,280.126,1.58,2.98,95.8,3796.174,1.6969696969697,67.4,62.6,2.65656565656566
"2021-10-31",0.072658351,7.1,278.524,0.83,2.85,94.8,4116.196,1.72727272727273,71.7,60.7,2.65656565656566
"2021-09-30",-0.053125844,8.1,276.59,0.33,2.89,92.07,4162.81,1.8265306122449,72.8,60,2.58585858585859
"2021-08-31",0.039976337,9.8,274.214,0.33,2.32,93.05,4077.17,1.8469387755102,70.3,58.7,2.61616161616162
"2021-07-31",0.011633383,10.5,273.092,0.08,1.83,95.32,4125.348,1.86734693877551,81.2,61.2,2.62626262626263
"2021-06-30",0.054929397,9.5,272.184,0.08,1.79,94.69,4167.748,1.93877551020408,85.5,61.9,2.67676767676768
"2021-05-31",-0.015322273,10.4,270.955,0.07,1.52,88.25,3984.371,1.92857142857143,82.9,64.8,2.61616161616162
"2021-04-30",0.054036161,12.6,268.599,0.07,1.43,86.66,3780.791,1.98979591836735,88.3,62.3,2.53535353535354
"2021-03-31",0.004132698,26.6,266.727,0.07,1.55,89.57,3805.178,1.91666666666667,84.9,64.6,2.52040816326531
"2021-02-28",0.009307848,13.5,265.028,0.06,1.52,94.72,3829.269,1.83157894736842,76.8,60.4,2.3469387755102
"2021-01-31",0.014153169,19.9,263.346,0.06,1.3,94.16,3876.162,1.73469387755102,79,58.6,2.3298969072165
"2020-12-31",0.05652551,14,262.2,0.07,1.24,87.93,3369.02,1.77551020408163,80.7,59.8,2.2680412371134
"2020-11-30",0.117961727,13,261.564,0.08,1.45,82.41,3163.008,1.8265306122449,76.9,58.3,2.23958333333333
"2020-10-31",-0.022916478,13.6,260.721,0.05,1.58,94.7,3122.156,1.79381443298969,81.8,60.3,2.21428571428571
"2020-09-30",-0.051628556,14.3,260.352,0.05,1.65,103.33,3083.636,1.89795918367347,80.4,60.6,2.16326530612245
"2020-08-31",0.095873812,15,260.19,0.06,1.74,106.19,2880.781,1.80808080808081,74.1,56.8,2.12371134020619
"2020-07-31",0.068248901,18.7,259.58,0.07,1.44,102.25,2839.316,1.92783505154639,72.5,56.3,2.08163265306122
"2020-06-30",0.059948134,19.3,258.543,0.07,1.11,100.24,2815.794,1.8659793814433,78.1,55,2.02040816326531
"2020-05-31",0.067530977,24.8,257.217,0.09,0.93,98.57,2615.272,1.90625,72.3,53.9,2.02040816326531
"2020-04-30",0.15447202,33.8,255.944,0.09,0.84,97.21,2918.756,2,71.8,56.2,2.01010101010101
"2020-03-31",-0.101229432,13.1,256.094,0.09,0.88,86.41,3268.144,2.15151515151515,89.1,57.6,1.97959183673469
"2020-02-29",-0.063771591,8.3,258.165,0.09,0.69,85.61,3159.142,2.14141414141414,101,65.6,2.32323232323232
"2020-01-31",0.019876067,7.8,259.007,0.09,0.72,86.33,2186.971,2.07291666666667,99.8,65.6,2.27272727272727
"2019-12-31",0.035442971,7.3,258.682,0.1,0.55,97.19,1626.469,2.09090909090909,99.3,63.8,2.23711340206186
"2019-11-30",0.044994429,7.5,258.263,0.08,0.66,96.29,1616.342,2.04081632653061,96.8,61,2.18367346938776
"2019-10-31",0.036630522,7.4,257.788,0.05,0.65,101.33,1651.927,2.05102040816327,95.5,57.1,2.19191919191919
"2019-09-30",0.004578745,7.3,257.305,0.05,0.64,110.04,1526.697,2.01010101010101,93.2,56.8,2.07142857142857
"2019-08-31",-0.025997441,7.2,256.596,0.08,0.7,102.94,1483.702,2.02040816326531,89.8,57.4,2.1734693877551
"2019-07-31",0.021131018,7,256.179,1.58,1.13,89.58,1400.171,2.06122448979592,98.4,64.1,2.28282828282828
"2019-06-30",0.074208892,7.2,255.9,1.59,1.51,89.42,1498.68,2.07070707070707,98.2,60.8,2.32323232323232
"2019-05-31",-0.079334041,7.4,255.361,1.55,1.92,89.04,1534.523,2.1010101010101,100,63.3,2.52525252525253
"2019-04-30",0.047361217,7.7,255.325,1.56,1.78,84.14,1504.737,2.05102040816327,97.2,60.6,2.5
"2019-03-31",0.026125352,8.2,255.163,1.58,1.69,81.9,1544.711,2.08163265306122,98.4,59,2.56565656565657
"2019-02-28",0.034440944,8.8,254.273,1.9,1.68,75.31,1505.43,2.01030927835052,93.8,57.1,2.57575757575758
"2019-01-31",0.09742769,8.7,253.135,2.13,1.5,76.82,1622.282,1.91752577319588,91.2,56.6,2.6734693877551
"2018-12-31",-0.094844309,9,252.47,2.4,2.02,76.37,1640.75,2.04166666666667,98.3,57.2,2.72448979591837
"2018-11-30",0.003372617,7.2,252.551,2.4,2,75.35,1617.539,2.03030303030303,97.5,60.5,2.73737373737374
"2018-10-31",-0.092023091,7.4,252.657,2.4,2.14,73.84,1661.223,2.08163265306122,98.6,62.3,2.75510204081633
"2018-09-30",-0.007792057,7.6,252.862,2.45,2.51,84.48,1738.659,2.06,100.1,62.7,2.71717171717172
"2018-08-31",0.057059695,7.6,252.239,2.43,2.41,81.24,1802.252,1.96938775510204,96.2,63.5,2.71717171717172
"2018-07-31",0.02150247,7.6,251.749,2.4,2.73,76.42,1832.5,1.98989898989899,97.9,60.6,2.74489795918367
"2018-06-30",0.009161368,7.6,251.323,2.4,2.63,78.22,1883.924,1.98969072164948,98.2,62.7,2.71717171717172
"2018-05-31",0.053189306,7.5,251.118,2.4,2.69,74.3,1947.119,1.96938775510204,98,59.4,2.73469387755102
"2018-04-30",0.000399238,7.4,250.779,2.2,3.01,78.08,1940.847,2.02040816326531,98.8,60.8,2.68686868686869
"2018-03-31",-0.02881338,7.6,250.146,2.2,3.15,75.82,2019.681,1.94897959183673,101.4,60.2,2.76767676767677
"2018-02-28",-0.018683178,7.6,249.581,2.18,3.05,69.46,2052.59,1.95959595959596,99.7,63.8,2.73737373737374
"2018-01-31",0.073600072,7.4,249.439,1.91,2.86,71.06,2113.321,1.90816326530612,95.7,66.7,2.66326530612245
"2017-12-31",0.004279914,6.6,248.743,1.91,2.96,64.09,2232.947,1.85714285714286,95.9,62.4,2.6530612244898
"2017-11-30",0.021746013,7,247.805,1.91,2.85,69.68,2203.63,1.91836734693878,98.5,62.2,2.62
"2017-10-31",0.035669862,7.4,247.284,1.7,2.83,59.16,2201.425,1.90721649484536,100.7,64.5,2.6530612244898
"2017-09-30",0.010468745,7.3,246.626,1.69,2.95,49.79,2294.895,1.85567010309278,95.1,62.9,2.64285714285714
"2017-08-31",0.012687221,7.6,246.435,1.67,2.74,47.98,2243.832,1.85858585858586,96.8,62.7,2.62626262626263
"2017-07-31",0.033825048,7.6,245.183,1.35,2.87,39.16,2212.709,1.81632653061224,93.4,59.2,2.70707070707071
"2017-06-30",-0.009373205,7.5,244.243,1.34,2.72,41.74,2364.546,1.82474226804124,95,59.1,2.6969696969697
"2017-05-31",0.024953659,7.8,244.163,1.33,2.4,41.02,2280.565,1.91752577319588,97.1,59,2.6734693877551
"2017-04-30",0.022983081,7.2,244.004,1.07,2.42,57.44,2162.742,1.89583333333333,97,58.7,2.72727272727273
