"Date","ChangeSP500","save.Value","CPI","FederalFundsRate","X10YrTreasuryYield","EconomicPolicyUncertainty","CrudeOilPrice","FederalReserveLoans","FedReservesOnHand","Index","ExpectedStockIncrease","InterestRates"
"2021-12-31",0.043612875,7.9,281.933,1.58,2.93,201.06,104.61,28532,3771.911,70.6,63,2.66666666666667
"2021-11-30",-0.008333731,7.2,280.126,1.58,2.98,154.39,95.8,30571,3796.174,67.4,62.6,2.65656565656566
"2021-10-31",0.069143873,7.1,278.524,0.83,2.85,72.9,94.8,34952,4116.196,71.7,60.7,2.65656565656566
"2021-09-30",-0.04756914,8.1,276.59,0.33,2.89,281.5,92.07,42255,4162.81,72.8,60,2.58585858585859
"2021-08-31",0.028990321,9.8,274.214,0.33,2.32,81.85,93.05,50546,4077.17,70.3,58.7,2.61616161616162
"2021-07-31",0.022748109,10.5,273.092,0.08,1.83,167.06,95.32,61426,4125.348,81.2,61.2,2.62626262626263
"2021-06-30",0.022213976,9.5,272.184,0.08,1.79,184.81,94.69,78094,4167.748,85.5,61.9,2.67676767676768
"2021-05-31",0.005486503,10.4,270.955,0.07,1.52,132.09,88.25,85487,3984.371,82.9,64.8,2.61616161616162
"2021-04-30",0.052425313,12.6,268.599,0.07,1.43,117.24,86.66,91126,3780.791,88.3,62.3,2.53535353535354
"2021-03-31",0.042438634,26.6,266.727,0.07,1.55,97.73,89.57,84894,3805.178,84.9,64.6,2.52040816326531
"2021-02-28",0.026091475,13.5,265.028,0.06,1.52,142.53,94.72,73124,3829.269,76.8,60.4,2.3469387755102
"2021-01-31",-0.01113664,19.9,263.346,0.06,1.3,166.77,94.16,61188,3876.162,79,58.6,2.3298969072165
"2020-12-31",0.037121407,14,262.2,0.07,1.24,116.35,87.93,56321,3369.02,80.7,59.8,2.2680412371134
"2020-11-30",0.107545658,13,261.564,0.08,1.45,133.65,82.41,51098,3163.008,76.9,58.3,2.23958333333333
"2020-10-31",-0.027665775,13.6,260.721,0.05,1.58,74.69,94.7,56701,3122.156,81.8,60.3,2.21428571428571
"2020-09-30",-0.039227954,14.3,260.352,0.05,1.65,125.83,103.33,63864,3083.636,80.4,60.6,2.16326530612245
"2020-08-31",0.070064687,15,260.19,0.06,1.74,136.03,106.19,72462,2880.781,74.1,56.8,2.12371134020619
"2020-07-31",0.055101297,18.7,259.58,0.07,1.44,194.65,102.25,78373,2839.316,72.5,56.3,2.08163265306122
"2020-06-30",0.018388403,19.3,258.543,0.07,1.11,199.79,100.24,81105,2815.794,78.1,55,2.02040816326531
"2020-05-31",0.045281775,24.8,257.217,0.09,0.93,307.12,98.57,90523,2615.272,72.3,53.9,2.02040816326531
"2020-04-30",0.126844103,33.8,255.944,0.09,0.84,156.15,97.21,95360,2918.756,71.8,56.2,2.01010101010101
"2020-03-31",-0.125119321,13.1,256.094,0.09,0.88,186.36,86.41,106896,3268.144,89.1,57.6,1.97959183673469
"2020-02-29",-0.084110469,8.3,258.165,0.09,0.69,207.77,85.61,123028,3159.142,101,65.6,2.32323232323232
"2020-01-31",-0.00162809,7.8,259.007,0.09,0.72,169.1,86.33,109119,2186.971,99.8,65.6,2.27272727272727
"2019-12-31",0.028589803,7.3,258.682,0.1,0.55,384.08,97.19,13,1626.469,99.3,63.8,2.23711340206186
"2019-11-30",0.034047064,7.5,258.263,0.08,0.66,292.37,96.29,34,1616.342,96.8,61,2.18367346938776
"2019-10-31",0.020431747,7.4,257.788,0.05,0.65,557.19,101.33,13,1651.927,95.5,57.1,2.19191919191919
"2019-09-30",0.017181168,7.3,257.305,0.05,0.64,440.07,110.04,40,1526.697,93.2,56.8,2.07142857142857
"2019-08-31",-0.018091653,7.2,256.596,0.08,0.7,516.55,102.94,68,1483.702,89.8,57.4,2.1734693877551
"2019-07-31",0.013128195,7,256.179,1.58,1.13,225.32,89.58,96,1400.171,98.4,64.1,2.28282828282828
"2019-06-30",0.068930183,7.2,255.9,1.59,1.51,122.2,89.42,110,1498.68,98.2,60.8,2.32323232323232
"2019-05-31",-0.065777726,7.4,255.361,1.55,1.92,105.75,89.04,132,1534.523,100,63.3,2.52525252525253
"2019-04-30",0.039313435,7.7,255.325,1.56,1.78,41.19,84.14,184,1504.737,97.2,60.6,2.5
"2019-03-31",0.017924288,8.2,255.163,1.58,1.69,133.29,81.9,53,1544.711,98.4,59,2.56565656565657
"2019-02-28",0.02972893,8.8,254.273,1.9,1.68,113,75.31,32,1505.43,93.8,57.1,2.57575757575758
"2019-01-31",0.078684405,8.7,253.135,2.13,1.5,135.02,76.82,27,1622.282,91.2,56.6,2.6734693877551
"2018-12-31",-0.091776956,9,252.47,2.4,2.02,103.01,76.37,12,1640.75,98.3,57.2,2.72448979591837
"2018-11-30",0.017859382,7.2,252.551,2.4,2,114.41,75.35,34,1617.539,97.5,60.5,2.73737373737374
"2018-10-31",-0.069403359,7.4,252.657,2.4,2.14,94.35,73.84,77,1661.223,98.6,62.3,2.75510204081633
"2018-09-30",0.004294301,7.6,252.862,2.45,2.51,75.34,84.48,84,1738.659,100.1,62.7,2.71717171717172
"2018-08-31",0.030263219,7.6,252.239,2.43,2.41,134.75,81.24,230,1802.252,96.2,63.5,2.71717171717172
"2018-07-31",0.036021586,7.6,251.749,2.4,2.73,125.24,76.42,359,1832.5,97.9,60.6,2.74489795918367
"2018-06-30",0.0048424,7.6,251.323,2.4,2.63,126.24,78.22,311,1883.924,98.2,62.7,2.71717171717172
"2018-05-31",0.021608353,7.5,251.118,2.4,2.69,149.82,74.3,236,1947.119,98,59.4,2.73469387755102
"2018-04-30",0.002718801,7.4,250.779,2.2,3.01,136.43,78.08,181,1940.847,98.8,60.8,2.68686868686869
